Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Privacy Preserving Synthetic Data Release Using Deep Learning","Machine Learning and Knowledge Discovery in Databases","","","","10.1007/978-3-030-10925-7_31","Nazmiye Ceren AbayYan ZhouMurat KantarciogluBhavani ThuraisinghamLatanya Sweeney","2019","http://link.springer.com/chapter/10.1007/978-3-030-10925-7_31","Chapter"
"Privacy-Protective-GAN for Privacy Preserving Face De-Identification","Journal of Computer Science and Technology","","34","1","10.1007/s11390-019-1898-8","Yifan WuFan YangYong XuHaibin Ling","2019","http://link.springer.com/article/10.1007/s11390-019-1898-8","Article"
"PART-GAN: Privacy-Preserving Time-Series Sharing","Artificial Neural Networks and Machine Learning – ICANN 2020","","","","10.1007/978-3-030-61609-0_46","Shuo WangCarsten RudolphSurya NepalMarthie GroblerShangyu Chen","2020","http://link.springer.com/chapter/10.1007/978-3-030-61609-0_46","Chapter"
"Using Deep Learning to Generate Relational HoneyData","Autonomous Cyber Deception","","","","10.1007/978-3-030-02110-8_1","Nazmiye Ceren AbayCuneyt Gurcan AkcoraYan ZhouMurat KantarciogluBhavani Thuraisingham","2019","http://link.springer.com/chapter/10.1007/978-3-030-02110-8_1","Chapter"
"A Graph Data Privacy-Preserving Method Based on Generative Adversarial Networks","Web Information Systems Engineering – WISE 2020","","","","10.1007/978-3-030-62008-0_16","Aiping LiJunbin FangQianye JiangBin ZhouYan Jia","2020","http://link.springer.com/chapter/10.1007/978-3-030-62008-0_16","Chapter"
"A Novel Location Privacy Protection Scheme with Generative Adversarial Network","Big Data and Security","","","","10.1007/978-981-15-7530-3_2","Wenxi WangWeilong ZhangZhang JinKeyan SunRunlin ZouChenrong HuangYuan Tian","2020","http://link.springer.com/chapter/10.1007/978-981-15-7530-3_2","Chapter"
"Differentially Private Obfuscation of Facial Images","Machine Learning and Knowledge Extraction","","","","10.1007/978-3-030-29726-8_15","William L. CroftJörg-Rüdiger SackWei Shi","2019","http://link.springer.com/chapter/10.1007/978-3-030-29726-8_15","Chapter"
"Privacy Sensitive Large-Margin Model for Face De-Identification","Neural Computing for Advanced Applications","","","","10.1007/978-981-15-7670-6_40","Zhiqiang GuoHuigui LiuZhenzhong KuangYuta NakashimaNoboru Babaguchi","2020","http://link.springer.com/chapter/10.1007/978-981-15-7670-6_40","Chapter"
"DAP
            
              
            
            $$^2$$
            
              
                
                2
              
            
          CMH: Deep Adversarial Privacy-Preserving Cross-Modal Hashing","Neural Processing Letters","","","","10.1007/s11063-021-10447-4","Lei ZhuJiayu SongZhan YangWenti HuangChengyuan ZhangWeiren Yu","2021","http://link.springer.com/article/10.1007/s11063-021-10447-4","Article"
"Privacy-Preserving Data Generation and Sharing Using Identification Sanitizer","Web Information Systems Engineering – WISE 2020","","","","10.1007/978-3-030-62008-0_13","Shuo WangLingjuan LyuTianle ChenShangyu ChenSurya NepalCarsten RudolphMarthie Grobler","2020","http://link.springer.com/chapter/10.1007/978-3-030-62008-0_13","Chapter"
"PLFG: A Privacy Attack Method Based on Gradients for Federated Learning","Security and Privacy in Digital Economy","","","","10.1007/978-981-15-9129-7_14","Feng Wu","2020","http://link.springer.com/chapter/10.1007/978-981-15-9129-7_14","Chapter"
"Data Privacy: From Technology to Economics","Advances in Machine Learning II","","","","10.1007/978-3-642-05179-1_3","Stan MatwinTomasz Szapiro","2010","http://link.springer.com/chapter/10.1007/978-3-642-05179-1_3","Chapter"
"A Privacy Framework for the Personal Web","The Personal Web","","","","10.1007/978-3-642-39995-4_5","Reza SamaviMariano P. ConsensThodoros Topaloglou","2013","http://link.springer.com/chapter/10.1007/978-3-642-39995-4_5","Chapter"
"Reset Attack: An Attack Against Homomorphic Encryption-Based Privacy-Preserving Deep Learning System","Artificial Intelligence and Security","","","","10.1007/978-981-15-8083-3_3","Xiaofeng WuYuanzhi YaoWeihai LiNenghai Yu","2020","http://link.springer.com/chapter/10.1007/978-981-15-8083-3_3","Chapter"
"A New Noise Generating Method Based on Gaussian Sampling for Privacy Preservation","Geometry and Vision","","","","10.1007/978-3-030-72073-5_1","Bo MaWei Qi YanEdmund LaiJingsong Wu","2021","http://link.springer.com/chapter/10.1007/978-3-030-72073-5_1","Chapter"
"Ambient Intelligence: Applications and Privacy Policies","Highlights of Practical Applications of Heterogeneous Multi-Agent Systems. The PAAMS Collection","","","","10.1007/978-3-319-07767-3_18","Mar LopezJuanita PedrazaJavier CarboJose M. Molina","2014","http://link.springer.com/chapter/10.1007/978-3-319-07767-3_18","Chapter"
"Protect privacy of deep classification networks by exploiting their generative power","Machine Learning","","","","10.1007/s10994-021-05951-6","Jiyu ChenYiwen GuoQianjun ZhengHao Chen","2021","http://link.springer.com/article/10.1007/s10994-021-05951-6","Article"
"Learning to Anonymize Faces for Privacy Preserving Action Detection","Computer Vision – ECCV 2018","","","","10.1007/978-3-030-01246-5_38","Zhongzheng RenYong Jae LeeMichael S. Ryoo","2018","http://link.springer.com/chapter/10.1007/978-3-030-01246-5_38","Chapter"
"Location-Aware Privacy Preserving Scheme in SDN-Enabled Fog Computing","Security and Privacy in Digital Economy","","","","10.1007/978-981-15-9129-7_13","Bruce GuXiaodong WangYouyang QuJiong JinYong XiangLongxiang Gao","2020","http://link.springer.com/chapter/10.1007/978-981-15-9129-7_13","Chapter"
"Analyzing and Predicting Privacy Settings in the Social Web","User Modeling, Adaptation and Personalization","","","","10.1007/978-3-319-20267-9_9","Kaweh Djafari NainiIsmail Sengor AltingovdeRicardo KawaseEelco HerderClaudia Niederée","2015","http://link.springer.com/chapter/10.1007/978-3-319-20267-9_9","Chapter"
"Task-Agnostic Privacy-Preserving Representation Learning via Federated Learning","Federated Learning","","","","10.1007/978-3-030-63076-8_4","Ang LiHuanrui YangYiran Chen","2020","http://link.springer.com/chapter/10.1007/978-3-030-63076-8_4","Chapter"
"Dynamic Searchable Symmetric Encryption with Forward and Backward Privacy: A Survey","Network and System Security","","","","10.1007/978-3-030-36938-5_3","Qingqing GanCong ZuoJianfeng WangShi-Feng SunXiaoming Wang","2019","http://link.springer.com/chapter/10.1007/978-3-030-36938-5_3","Chapter"
"The Location Privacy Preserving Scheme Based on Hilbert Curve for Indoor LBS","Advances in Swarm Intelligence","","","","10.1007/978-3-030-26354-6_39","Yanru ZhongTing WangCaijun GanXiaonan Luo","2019","http://link.springer.com/chapter/10.1007/978-3-030-26354-6_39","Chapter"
